Date,Longitude (deg E),Latitude (deg N),Wildfire radiative power (Gigawatts per day)
20190614,134.55000,67.850000,0.0097280108
20190614,134.55000,69.350000,0.0063921547
20190614,134.55000,69.450000,0.0098695159
20190614,134.65000,67.750000,0.0070573162
20190614,134.65000,67.850000,0.035712477
20190614,134.65000,69.350000,0.00058718639
20190614,134.65000,69.450000,0.011146944
20190614,134.75000,67.850000,0.016068026
20190614,134.85000,67.750000,0.038281682
20190614,134.85000,67.850000,0.043880647
20190614,134.95000,67.750000,0.0012009048
20190614,135.35000,67.550000,0.0010565329
20190614,135.45000,67.550000,0.012325655
20190614,135.45000,67.650000,0.0023605190
20190614,135.55000,67.550000,0.0032582654
20190614,135.55000,67.650000,0.011706512
20190614,135.55000,67.850000,0.00067003169
20190614,135.65000,67.450000,0.061645777
20190614,135.65000,67.550000,0.0037934075
20190614,135.65000,67.650000,0.0080226963
20190614,135.65000,67.750000,0.029933984
20190614,135.65000,67.850000,0.0080222137
20190614,135.75000,67.350000,0.026496306
20190614,135.75000,67.450000,0.014290632
20190614,135.75000,67.550000,0.0041122485
20190614,135.75000,67.650000,0.21860222
20190614,135.75000,67.750000,0.0099023692
20190614,135.85000,67.450000,0.0032105644
20190614,135.85000,67.650000,0.078625249
20190614,135.85000,67.750000,0.017784943
20190614,135.85000,67.850000,0.0042244367
20190614,135.95000,67.650000,0.012945827
20190614,135.95000,67.750000,0.015314804
20190614,135.95000,67.850000,0.091367014
20190614,136.05000,67.650000,0.066311203
20190614,136.05000,67.750000,0.20045228
20190614,136.05000,67.850000,0.11399239
20190614,136.15000,67.650000,0.0022600989
20190614,136.15000,67.750000,0.10468543
20190614,139.75000,67.950000,0.0010936965
20190614,140.15000,68.850000,0.0010688885
20190614,140.75000,70.150000,0.00087549216
20190614,141.75000,66.550000,0.0023418601
20190614,141.95000,67.450000,0.0034454044
20190614,142.85000,66.350000,0.0015104471
20190614,142.95000,66.350000,0.0010545575
20190614,145.45000,67.150000,0.018400058
20190614,145.45000,67.350000,0.064739262
20190614,145.55000,67.350000,0.014945581
20190614,146.25000,66.750000,0.020112356
20190614,146.25000,66.850000,0.0063984956
20190614,146.35000,66.750000,0.021200850
20190614,146.35000,66.850000,0.045715557
20190614,146.45000,66.850000,0.0060589917
20190614,147.35000,66.550000,0.011241239
20190614,147.65000,66.450000,0.0033080092
20190614,148.45000,66.050000,0.0037798572
20190614,148.75000,67.750000,0.0017234644
20190614,148.75000,67.850000,0.030503447
20190614,148.85000,67.850000,0.0091741021
20190614,150.05000,68.050000,0.0065419723
20190614,150.05000,68.150000,0.00083946474
20190614,150.25000,67.850000,0.0017772312
20190614,152.35000,67.150000,0.84614561
20190614,152.35000,67.250000,0.019634842
20190614,152.45000,67.150000,0.73847039
20190614,155.15000,70.350000,0.0032631323
20190615,-69.750000,69.250000,0.0037735545
20190615,-51.850000,67.350000,0.0033064870
20190615,-50.450000,66.950000,0.012840703
20190615,-26.650000,73.650000,0.011044589
